emotion,real_mean,real_sem,fake_mean,fake_sem,diff (fake-real)
Positive,0.02498099006098509,0.0002716357923002871,0.027004151978813156,0.00021274231700159723,0.002023161917828066
Negative,0.020143408545347626,0.0002632690766515929,0.02048123659785518,0.00020667166672916625,0.0003378280525075522
Anger,0.00844894462983976,0.00016604053717742356,0.009458062959392464,0.00013519691442868368,0.0010091183295527044
Anticipation,0.01299078373791625,0.00017012355749386064,0.013471151155183908,0.0001292737513863327,0.00048036741726765857
Disgust,0.0034872582381965914,8.897535424442631e-05,0.0037380562986545824,7.572098206391715e-05,0.00025079806045799104
Fear,0.013042652225409176,0.00022888856342133583,0.01265844975061669,0.00016912334680075245,-0.000384202474792485
Joy,0.006359409620405449,0.00013823919142295116,0.006155771824048032,9.645825560632921e-05,-0.00020363779635741708
Sadness,0.008295064095364279,0.00015545131466582513,0.008833522403948248,0.00012338600734943366,0.0005384583085839695
Surprise,0.006580135987655615,0.0001373818545909801,0.006774643947664911,0.00010744587798083766,0.00019450796000929603
Trust,0.017550085232416607,0.0002216854237208362,0.01946718028634562,0.00020271558111142334,0.0019170950539290146
